Longitude,Latitude
-110.908333333,-18.225
-110.841666667,-17.5416666667
-112.241666667,-17.0416666667
-111.758333333,-17.4916666667
-112.408333333,-18.4583333333
-117.425,-15.4583333333
-115.825,-17.575
-115.925,-18.8083333333
-115.775,-18.875
-115.658333333,-17.875
-114.891666667,-16.075
-115.075,-17.575
-116.775,-15.2083333333
-116.158333333,-17.725
-115.625,-17.5916666667
-115.975,-17.175
-114.725,-18.2916666667
-114.691666667,-17.9583333333
-116.175,-17.3083333333
-115.391666667,-18.175
-116.558333333,-17.9916666667
-116.808333333,-18.0583333333
-114.691666667,-17.375
-113.875,-18.6583333333
-114.341666667,-17.1583333333
-114.141666667,-17.1583333333
-114.291666667,-17.475
-114.475,-17.4083333333
-114.108333333,-17.4916666667
-111.891666667,-18.1916666667
-111.741666667,-18.2916666667
-113.108333333,-18.1083333333
-112.775,-17.8416666667
-112.641666667,-17.4583333333
-112.608333333,-17.6416666667
-111.658333333,-18.0083333333
-112.241666667,-18.725
-112.025,-17.4083333333
-112.141666667,-15.2583333333
-114.658333333,-15.175
-116.191666667,-15.375
-116.241666667,-15.775
-114.525,-16.075
-112.991666667,-15.0083333333
-114.058333333,-17.925
-114.225,-17.9083333333
-114.408333333,-18.275
-113.908333333,-17.5583333333
-113.691666667,-17.5583333333
-113.591666667,-17.875
-113.508333333,-17.925
-113.791666667,-17.7916666667
-114.908333333,-17.5916666667
-114.958333333,-18.2416666667
-115.108333333,-18.2416666667
-115.575,-18.3916666667
-116.075,-18.1416666667
-114.841666667,-18.575
-114.708333333,-18.6083333333
-114.591666667,-18.6583333333
-115.291666667,-18.7916666667
-115.558333333,-18.9083333333
-113.808333333,-18.8583333333
-115.825,-17.1583333333
-116.858333333,-17.275
-117.308333333,-17.2416666667
-117.441666667,-17.7916666667
-116.691666667,-17.625
-117.141666667,-17.875
-117.158333333,-18.6916666667
-115.458333333,-17.6916666667
-115.941666667,-17.775
-111.425,-18.175
-117.091666667,-16.125
-116.591666667,-15.9416666667
-116.175,-16.0583333333
-116.841666667,-15.7583333333
-115.958333333,-15.4083333333
-113.641666667,-15.425
-114.391666667,-16.1583333333
-114.725,-16.0083333333
-114.225,-16.4083333333
-115.058333333,-17.0583333333
-114.491666667,-16.925
-113.991666667,-17.175
-113.808333333,-17.2083333333
-114.758333333,-17.5416666667
-114.625,-17.5583333333
-114.191666667,-17.7083333333
-114.058333333,-17.7083333333
-113.925,-17.7583333333
-115.325,-17.5416666667
-116.141666667,-18.5416666667
-115.925,-18.325
-115.291666667,-18.4416666667
-114.375,-18.6083333333
-115.058333333,-17.3916666667
-115.208333333,-17.3916666667
-115.275,-17.1916666667
-115.991666667,-17.3583333333
-112.491666667,-17.3416666667
-112.491666667,-17.875
-112.908333333,-17.325
-112.025,-17.0916666667
-110.691666667,-18.6083333333
-111.191666667,-18.2583333333
-110.841666667,-17.4083333333
-111.675,-17.2583333333
-111.291666667,-17.225
-111.441666667,-17.5083333333
-112.341666667,-18.0583333333
-110.608333333,-17.4416666667
-110.841666667,-16.0416666667
-110.891666667,-15.875
-115.141666667,-18.8416666667
-114.891666667,-18.8916666667
-114.641666667,-18.9416666667
-115.425,-18.925
-116.741666667,-16.1416666667
-117.091666667,-16.125
-110.908333333,-18.225
-110.841666667,-17.5416666667
-112.241666667,-17.0416666667
-111.758333333,-17.4916666667
-112.408333333,-18.4583333333
-117.425,-15.4583333333
-115.825,-17.575
-115.925,-18.8083333333
-115.775,-18.875
-115.658333333,-17.875
-114.891666667,-16.075
-115.075,-17.575
-116.775,-15.2083333333
-116.158333333,-17.725
-115.625,-17.5916666667
-115.975,-17.175
-114.725,-18.2916666667
-114.691666667,-17.9583333333
-116.175,-17.3083333333
-115.391666667,-18.175
-116.558333333,-17.9916666667
-116.808333333,-18.0583333333
-114.691666667,-17.375
-113.875,-18.6583333333
-114.341666667,-17.1583333333
-114.141666667,-17.1583333333
-114.291666667,-17.475
-114.475,-17.4083333333
-114.108333333,-17.4916666667
-111.891666667,-18.1916666667
-111.741666667,-18.2916666667
-113.108333333,-18.1083333333
-112.775,-17.8416666667
-112.641666667,-17.4583333333
-112.608333333,-17.6416666667
-111.658333333,-18.0083333333
-112.241666667,-18.725
-112.025,-17.4083333333
-112.141666667,-15.2583333333
-114.658333333,-15.175
-116.191666667,-15.375
-116.241666667,-15.775
-114.525,-16.075
-112.991666667,-15.0083333333
-114.058333333,-17.925
-114.225,-17.9083333333
-114.408333333,-18.275
-113.908333333,-17.5583333333
-113.691666667,-17.5583333333
-113.591666667,-17.875
-113.508333333,-17.925
-113.791666667,-17.7916666667
-114.908333333,-17.5916666667
-114.958333333,-18.2416666667
-115.108333333,-18.2416666667
-115.575,-18.3916666667
-116.075,-18.1416666667
-114.841666667,-18.575
-114.708333333,-18.6083333333
-114.591666667,-18.6583333333
-115.291666667,-18.7916666667
-115.558333333,-18.9083333333
-113.808333333,-18.8583333333
-115.825,-17.1583333333
-116.858333333,-17.275
-117.308333333,-17.2416666667
-117.441666667,-17.7916666667
-116.691666667,-17.625
-117.141666667,-17.875
-117.158333333,-18.6916666667
-115.458333333,-17.6916666667
-115.941666667,-17.775
-111.425,-18.175
-116.591666667,-15.9416666667
-116.175,-16.0583333333
-116.841666667,-15.7583333333
-115.958333333,-15.4083333333
-113.641666667,-15.425
-114.391666667,-16.1583333333
-114.725,-16.0083333333
-114.225,-16.4083333333
-115.058333333,-17.0583333333
-114.491666667,-16.925
-113.991666667,-17.175
-113.808333333,-17.2083333333
-114.758333333,-17.5416666667
-114.625,-17.5583333333
-114.191666667,-17.7083333333
-114.058333333,-17.7083333333
-113.925,-17.7583333333
-115.325,-17.5416666667
-116.141666667,-18.5416666667
-115.925,-18.325
-115.291666667,-18.4416666667
-114.375,-18.6083333333
-115.058333333,-17.3916666667
-115.208333333,-17.3916666667
-115.275,-17.1916666667
-115.991666667,-17.3583333333
-112.491666667,-17.3416666667
-112.491666667,-17.875
-112.908333333,-17.325
-112.025,-17.0916666667
-110.691666667,-18.6083333333
-111.191666667,-18.2583333333
-110.841666667,-17.4083333333
-111.675,-17.2583333333
-111.291666667,-17.225
-111.441666667,-17.5083333333
-112.341666667,-18.0583333333
-110.608333333,-17.4416666667
-110.841666667,-16.0416666667
-110.891666667,-15.875
-115.141666667,-18.8416666667
-114.891666667,-18.8916666667
-114.641666667,-18.9416666667
-115.425,-18.925
-116.741666667,-16.1416666667
-117.436280088,-15.9348384863
-117.090363301,-15.2943917442
-116.602688822,-15.2984541282
-117.217207874,-17.0966263005
-116.411018488,-17.0371156596
-116.747458031,-17.1151867823
-116.626827282,-17.1792572212
-116.528691313,-17.2411159159
-116.191726605,-17.5570485637
-116.338209649,-17.5369604462
-116.605584565,-18.3557273657
-114.031993134,-18.9957506769
-114.197770213,-18.869674504
-114.099421534,-18.6643750396
-113.801934513,-17.5501095485
-115.321492763,-19.0029859252
-115.230495517,-19.0689435272
-111.57959434,-17.2606290402
-112.315288399,-17.0667273944
-112.385571607,-17.1068288271
-110.512737974,-17.6452740986
-113.31742253,-16.2274703829
-110.883480069,-16.2306051205
-114.97206402,-16.5507447468
-111.604934247,-16.9017596048
-111.699103569,-17.0273542641
