lat,lon
  12.364977°   68.078988°
  11.428897°   70.500496°
  11.516127°   70.960637°
  11.440222°   71.168446°
  11.256713°   70.905410°
  11.567244°   71.771821°
  11.318429°   71.637288°
  11.073812°   71.711689°
  10.809317°   72.786501°
  10.798603°   72.917037°
  11.334577°   73.206915°
  10.788202°   73.339593°
  10.613416°   73.201729°
   9.655954°   72.913610°
   8.812932°   72.706772°
   9.030024°   73.068092°
   9.523435°   73.320258°
   9.743461°   73.676479°
   9.387276°   73.362166°
   8.769035°   72.972271°
   9.523435°   73.320258°
   8.622384°   72.290053°
   8.500103°   72.621148°
   8.654195°   73.733214°
   9.661938°   71.647344°
   9.460025°   72.153097°
   9.248176°   72.616185°
   9.445134°   72.542418°
   9.388393°   72.893159°
   9.049388°   72.891823°
   8.696689°   72.198608°
   8.276627°   71.801755°
   7.907493°   72.190379°
   7.719868°   72.584096°
   7.141062°   73.606484°
   6.626321°   73.873732°
   7.123899°   73.736330°
   7.265384°   72.256950°
   6.984199°   72.269532°
   6.868115°   72.364963°
   6.980694°   71.955393°
   6.477498°   72.432612°
   6.315122°   72.409868°
   6.092045°   72.667347°
   7.123899°   73.736330°
   5.949185°   72.173757°
   5.825554°   71.845988°
   5.582081°   72.444740°
   5.681619°   72.600403°
   5.358510°   72.469394°
   5.831523°   71.843029°
   9.102354°   71.774571°
   6.071245°   72.473860°
   5.002917°   72.110549°
   5.813188°   72.907983°
   5.275294°   73.059576°
   3.498014°   72.513448°
   3.107298°   74.234553°
   3.644185°   74.401620°
   3.859903°   74.175475°
   3.107298°   74.234553°
   2.913879°   72.458585°
   2.458937°   74.539759°
   2.379869°   74.449667°
   2.115580°   73.966239°
   1.642626°   73.799744°
   1.481897°   73.694573°
   1.389400°   73.475383°
   0.367617°   73.786291°
   0.287241°   74.327118°
   0.112104°   74.283964°
   0.413263°   75.794303°
   2.396248°   76.847058°
   2.564186°   77.761358°
   2.562320°   77.961984°
   2.187923°   77.916656°
   0.859649°   74.624729°
   0.199422°   74.602049°
   0.700722°   77.006849°
   0.389959°   77.450980°
   1.484141°   83.439065°
   0.931275°   83.113855°
   0.240915°   85.944903°
   2.250220°   85.076110°
   2.537454°   85.339552°
   3.040341°   86.065098°
   5.062446°   74.381183°
   4.643172°   75.300222°
   5.785155°   75.427037°
   5.693559°   75.875387°
   5.351048°   75.925385°
   5.014388°   75.986160°
   4.058514°   76.495337°
   5.195333°   78.083388°
   4.090634°   78.520752°
   5.045664°   76.464811°
   5.301215°   77.246333°
   5.559639°   77.324582°
   5.198885°   78.083406°
   4.086978°   78.528071°
   3.345519°   78.790178°
   5.767046°   75.419556°
   5.700748°   75.881919°
   5.000557°   75.972136°
   6.347877°   76.832012°
   2.672639°   78.846690°
   2.477104°   78.946318°
   4.038315°   67.413780°
   3.810052°   67.485145°
   4.253780°   68.003192°
   7.550424°   65.117365°
   8.344569°   64.041171°
   8.391904°   63.649462°
   8.496851°   63.362416°
   8.498499°   62.807313°
   8.537049°   62.607301°
   8.918043°   64.603550°
   9.438711°   62.766774°
   9.505259°   62.448794°
   9.701249°   62.348108°
   9.533793°   61.643524°
   9.133608°   61.623112°
   9.964955°   60.980463°
   8.538793°   62.605826°
   7.755491°   64.451391°
   7.398485°   64.330817°
   6.826455°   65.882576°
   6.819635°   65.545485°
   6.637916°   64.955024°
   6.598343°   64.644797°
   6.073645°   64.096108°
   5.779267°   63.965944°
   5.891248°   64.018564°
   5.592387°   63.579781°
   4.686248°   63.634422°
   4.537141°   63.566356°
   4.133918°   65.514884°
   4.086154°   64.212631°
   7.199661°   67.740200°
  10.118701°   85.492073°
   9.912509°   85.769762°
   9.401316°   85.589454°
   9.277659°   85.693391°
   9.062327°   85.802124°
   7.896389°   86.112421°
   1.947959°   78.630897°
  11.553247°   70.224620°
  11.628304°   70.592359°
  12.527226°   70.709869°
  12.668695°   70.588437°
  13.105066°   70.590542°
  13.107044°   73.110072°
  13.632470°   73.074877°
  15.338755°   69.005021°
  15.280299°   70.689249°
  12.945548°   70.182790°
  11.692058°   73.515789°
  13.820454°   71.975847°
  14.546642°   71.160185°
  14.988819°   70.868203°
  15.264516°   71.440376°
  16.636279°   70.483467°
  20.041774°   68.675853°
  19.008739°   68.986880°
  19.631915°   68.750082°
  19.639564°   68.499387°
  20.033076°   68.171212°
  17.256747°   68.291370°
  17.131705°   68.401641°
  16.967930°   68.441214°
  16.608833°   68.599028°
  16.525156°   70.188260°
  16.344493°   70.612339°
  16.059959°   70.923463°
  14.993989°   72.423356°
  14.918790°   72.324418°
  14.610331°   72.309320°
  14.423261°   72.210112°
  14.403577°   71.982556°
  14.229568°   71.999122°
  14.119986°   72.564320°
  13.451789°   74.364989°
  13.949020°   70.321515°
  16.060019°   68.114226°
  15.209839°   70.569510°
  19.041632°   61.854347°
  20.326963°   61.562830°
  18.396246°   65.533562°
  11.919637°   73.229399°
  12.215230°   73.329731°
  12.447376°   73.426943°
   3.708777°   88.420347°
  17.319103°   66.217829°
  17.285793°   66.366020°
  17.281360°   66.539378°
  19.038587°   61.843803°
  18.394059°   65.532407°
  18.636353°   66.705134°
  22.522394°   66.185422°
  21.316952°   65.393856°
   1.514227°   69.732816°
   1.225569°   70.037384°
   3.505484°   61.422112°
   3.508007°   61.283469°
   4.882498°   60.215644°
   7.654421°   62.532245°
   7.211151°   63.282446°
   6.509652°   63.438061°
   6.551374°   64.069776°
   0.081799°   62.097983°
   2.175763°   63.845777°
   4.575778°   61.234778°
   4.510954°   61.436720°
   4.133405°   61.385965°
   4.878558°   60.214134°
   2.752535°   61.672323°
   2.889784°   61.672382°
   1.576992°   61.110190°
   1.233934°   65.087495°
  -1.671468°   61.581698°
  -2.672896°   61.901675°
  -2.815824°   61.949567°
  -3.535602°   62.473455°
  -5.247464°   61.398749°
  -5.444081°   60.859578°
  -5.818409°   61.230712°
  -6.776546°   62.065724°
  -7.145965°   62.552057°
  -7.298725°   62.523832°
  -9.806122°   62.376651°
  -8.844360°   71.147664°
  -8.643804°   70.524203°
  -8.927431°   70.563765°
  -8.438501°   70.299614°
  -7.841004°   70.470689°
 -15.116381°   81.305278°
 -12.329993°   84.801386°
  -8.564784°   80.599033°
  -7.572494°   81.371115°
  -7.320782°   82.392314°
  -8.047121°   85.303800°
 -12.304398°   84.768807°
 -12.663766°   82.918899°
 -12.778029°   82.804080°
 -12.507129°   83.113268°
 -12.440690°   83.250367°
 -12.579085°   83.239604°
 -12.792007°   83.695022°
 -13.852558°   77.986141°
 -14.921378°   77.697321°
 -15.432642°   80.232950°
 -15.101416°   81.319291°
 -16.823716°   78.128563°
 -16.694769°   78.518635°
 -11.685789°   79.973284°
 -11.309493°   80.680983°
 -11.070041°   81.557087°
 -13.040684°   85.688254°
 -12.619087°   84.895496°
 -12.732170°   85.853241°
 -19.188275°   81.295258°
 -19.446731°   81.266670°
 -20.182012°   81.191255°
 -22.736439°   77.800190°
 -23.013900°   78.011853°
 -23.517886°   78.125171°
 -23.388276°   78.911412°
 -23.060437°   79.991142°
 -23.959092°   79.623291°
 -24.322240°   79.313206°
 -25.094981°   80.290948°
 -25.424043°   80.375165°
 -24.910491°   80.994147°
 -24.865229°   82.265718°
 -25.827780°   83.400018°
 -25.942642°   83.747489°
 -26.036774°   84.103026°
 -25.883768°   81.018345°
 -25.848970°   80.800655°
 -25.961963°   80.658081°
 -26.043395°   80.578512°
 -26.098156°   80.489810°
 -26.256922°   80.346879°
 -26.396094°   80.532839°
 -26.545923°   80.496612°
 -26.619368°   79.831238°
 -26.726657°   78.921817°
 -27.292379°   78.820314°
 -27.292379°   78.820314°
 -27.595449°   79.988783°
 -27.771585°   80.306207°
 -27.292688°   78.825228°
 -27.350632°   78.762068°
 -27.532713°   78.426694°
 -27.772061°   78.839052°
 -26.098908°   81.323136°
 -24.875986°   84.030945°
 -25.044138°   84.166986°
 -25.898649°   84.292823°
 -25.790312°   84.372189°
 -25.852609°   83.812164°
 -26.507513°   81.915086°
 -30.359077°   81.471914°
 -30.944916°   82.166043°
  -1.698173°   77.744043°
  -2.226959°   76.834657°
  -2.039246°   75.619238°
  -2.557055°   75.505021°
  -7.844797°   76.085674°
  -9.171212°   76.388939°
  -8.859294°   79.930567°
  -8.733274°   79.969448°
  -7.170871°   81.732867°
  -7.609273°   82.287224°
  -5.985853°   84.218920°
  -5.847908°   84.254797°
  -5.746665°   84.283343°
  -4.933495°   84.756857°
  -5.211568°   84.679005°
  -5.422335°   84.900740°
  -6.240045°   84.819507°
  -6.443270°   84.808659°
  -6.737623°   84.802403°
  -6.994663°   84.781426°
  -7.118162°   84.465608°
  -9.152908°   83.385829°
  -9.051382°   83.431404°
  -9.738006°   83.413735°
  -9.235542°   83.710172°
  -9.441093°   83.979766°
  -9.608059°   83.866383°
 -10.105298°   84.022380°
 -10.500627°   83.665416°
 -10.654036°   83.095438°
  -8.846275°   82.663505°
  -8.622074°   81.629242°
  -8.895062°   81.566118°
  -8.764006°   81.837629°
  -8.094152°   81.602225°
  -8.227565°   81.538095°
  -8.677053°   81.443881°
  -9.236132°   81.542301°
  -9.425098°   81.276541°
  -9.376248°   81.341492°
  -9.721564°   81.221255°
 -11.702305°   81.190535°
 -11.444941°   81.389537°
 -11.838202°   81.078859°
  -8.533045°   81.699549°
  -4.454033°   82.132412°
  -4.450303°   81.591777°
  -4.229064°   83.393137°
 -12.246916°   82.597437°
 -12.491723°   80.169034°
 -12.766544°   81.028156°
 -13.646748°   80.259328°
 -12.635136°   79.660057°
 -14.090515°   79.322586°
 -14.175905°   79.278092°
 -14.089798°   80.770086°
 -14.865703°   81.707160°
 -14.040023°   82.949622°
 -14.348767°   83.223993°
 -14.546473°   82.932005°
 -14.435394°   82.149560°
 -14.872082°   81.696303°
 -15.385886°   83.787422°
 -13.852275°   83.038486°
 -13.933099°   83.166163°
 -14.046471°   82.952213°
 -14.346923°   83.038788°
 -14.341562°   83.236432°
 -14.548821°   82.929092°
 -14.562985°   83.010427°
 -14.941472°   83.125485°
 -14.927999°   83.330353°
 -15.254148°   83.456811°
 -15.545440°   83.428300°
 -15.880849°   83.523889°
 -15.924816°   83.095712°
 -16.477209°   83.422182°
 -16.517180°   83.281532°
 -16.248515°   81.876653°
 -16.047524°   82.140936°
 -16.267018°   81.570668°
 -16.179486°   81.334409°
 -15.709849°   84.992265°
 -16.091330°   87.236558°
 -16.394950°   87.255052°
 -16.518026°   87.846325°
 -16.726735°   87.864487°
 -16.766788°   87.668867°
 -16.395089°   87.251601°
 -17.066135°   87.276916°
 -17.232526°   87.491009°
 -17.082544°   87.180155°
 -17.628363°   87.127617°
 -17.707399°   86.621352°
 -17.965361°   87.025491°
 -18.169343°   86.901368°
 -18.351962°   87.303723°
 -17.793352°   87.811369°
 -17.650763°   87.816610°
 -18.833244°   86.862166°
 -19.036046°   87.034805°
 -19.018522°   87.356920°
 -18.926275°   87.558202°
 -18.859726°   87.791378°
 -18.912680°   87.892779°
 -19.262824°   87.274163°
 -19.330739°   87.421771°
 -19.465478°   87.160757°
 -19.193626°   86.799425°
 -19.287060°   86.925506°
 -19.523622°   86.852808°
 -19.564527°   86.666523°
 -19.577664°   86.398471°
 -19.963068°   87.110712°
 -20.168711°   87.108417°
 -20.030553°   87.345470°
 -20.387265°   86.761983°
 -20.581085°   87.059886°
 -20.519882°   87.228848°
 -20.449790°   87.356444°
 -20.590266°   87.519270°
 -20.777731°   87.649524°
 -20.708546°   86.674802°
 -20.974276°   86.754945°
 -21.201396°   87.012654°
 -21.278303°   87.356010°
 -21.406006°   86.904429°
 -21.271921°   86.681583°
 -20.615754°   86.737709°
 -21.478970°   85.870794°
 -21.322272°   85.450478°
 -21.266611°   86.677416°
 -21.566977°   87.267070°
 -21.736751°   87.241603°
 -21.886802°   87.099986°
 -21.667376°   86.626296°
 -21.841477°   85.936702°
 -21.726420°   85.507072°
 -21.337140°   85.476883°
 -21.469565°   85.311856°
 -21.674167°   85.203707°
 -21.719761°   84.937423°
 -21.221704°   86.043979°
 -21.225009°   85.910011°
 -20.268981°   84.757011°
 -20.446415°   84.779524°
 -20.980179°   84.804592°
 -21.250780°   84.409795°
 -21.463191°   84.360223°
 -20.327328°   83.817479°
 -20.556501°   83.851062°
 -20.666505°   83.389187°
 -20.719396°   83.055583°
 -22.044724°   87.394954°
 -22.511408°   87.513772°
 -22.535081°   87.378210°
 -22.780302°   87.506499°
 -22.918394°   87.367346°
 -22.957832°   87.601386°
 -23.534342°   87.539270°
 -23.564469°   87.756009°
 -23.614661°   88.079818°
 -23.520342°   88.192527°
 -23.668291°   87.908357°
 -23.947225°   87.613727°
 -23.500998°   86.603935°
 -23.391412°   86.680749°
 -23.912309°   86.733235°
 -23.699354°   86.880551°
 -23.834405°   87.047792°
 -23.962424°   87.049783°
 -24.166818°   87.048228°
 -24.375014°   87.212728°
 -24.453487°   86.965787°
 -24.614103°   87.188153°
 -24.811128°   87.314783°
 -24.891602°   87.023902°
 -25.414998°   87.402518°
 -25.383237°   87.736816°
 -25.441435°   87.136056°
 -25.727012°   86.839644°
 -26.065982°   86.985772°
 -26.011936°   86.206955°
 -26.670898°   86.544600°
 -26.085613°   88.189419°
 -26.405476°   87.840884°
 -27.026748°   86.826374°
 -29.122827°   88.186554°
 -29.552377°   87.164129°
 -29.769104°   86.955234°
 -29.139322°   87.118801°
 -29.554645°   84.504720°
 -29.685285°   84.370844°
 -29.778871°   84.948269°
 -29.986892°   85.104649°
 -30.379214°   82.840933°
 -30.932769°   82.174894°
 -30.684036°   80.937617°
 -30.904746°   81.142448°
 -30.897495°   81.290351°
 -31.165012°   82.114070°
 -31.223675°   81.867329°
 -31.253079°   81.526881°
 -31.217970°   80.647608°
 -30.541743°   81.531504°
 -31.064291°   80.930435°
 -31.080711°   81.211841°
 -31.163560°   80.414933°
 -31.267621°   80.080636°
 -31.373020°   80.417314°
 -31.905599°   80.106359°
 -32.140762°   79.749253°
 -32.254105°   80.066846°
 -32.425499°   79.756022°
 -32.640851°   79.754918°
 -32.674150°   79.485511°
 -32.790943°   79.669836°
 -32.779584°   79.297255°
 -32.841008°   79.495221°
 -32.931368°   79.318238°
 -33.169848°   79.094008°
 -33.236270°   79.196307°
 -33.725118°   79.661561°
 -33.686990°   78.517728°
 -33.273200°   77.753303°
 -32.553388°   81.075433°
 -32.213147°   77.325836°
 -31.546342°   77.431890°
 -31.474555°   78.100858°
 -31.463427°   78.366485°
 -31.686461°   78.201757°
 -31.567260°   78.583349°
 -31.409829°   78.804661°
 -31.037690°   78.315746°
 -31.125592°   78.161127°
 -31.223628°   78.044669°
 -31.293347°   77.907451°
 -31.543503°   77.439381°
 -30.364634°   78.639740°
 -30.092029°   78.372499°
 -30.279295°   78.338279°
 -30.934452°   79.955176°
 -30.489635°   78.055064°
 -30.267551°   77.687545°
 -30.425113°   76.852567°
 -31.059249°   76.581598°
 -30.807499°   75.274495°
 -30.912437°   74.735611°
 -31.100734°   74.666049°
 -31.326849°   74.030779°
 -31.593907°   74.318998°
 -31.950266°   73.984851°
 -32.035167°   74.177988°
 -32.184825°   74.427530°
 -32.299030°   74.472720°
 -32.305032°   74.354483°
 -32.190420°   73.948568°
 -32.005809°   73.325481°
 -32.357411°   73.244864°
 -32.436116°   73.113405°
 -32.762753°   72.821297°
 -32.837119°   72.429301°
 -33.928197°   79.429978°
 -34.136591°   79.541755°
 -34.267084°   79.356526°
 -34.228920°   79.809007°
 -35.396292°   80.486011°
 -35.404949°   80.155784°
 -35.887726°   79.366397°
 -36.892880°   78.092940°
 -36.889851°   79.663663°
 -36.863665°   79.828543°
 -37.136352°   79.192129°
 -37.179560°   79.351768°
 -37.376090°   79.295221°
 -37.647619°   78.601630°
 -37.900787°   78.706225°
 -37.793200°   78.286487°
 -37.789283°   78.536652°
 -38.251053°   77.736538°
 -38.297909°   76.394401°
 -38.859444°   76.761861°
 -39.292025°   77.584728°
 -39.365343°   77.449462°
 -39.238600°   77.908082°
 -39.477870°   77.685370°
 -39.635004°   77.669097°
   0.622379°  141.334565°
   0.637329°  141.007482°
   0.623983°  141.002130°
   0.601696°  140.810277°
   1.369921°  140.487499°
   0.311162°  139.490138°
   0.365715°  139.289042°
   0.524115°  139.321868°
   0.527864°  139.209929°
   0.520330°  139.118467°
   1.644874°  141.473160°
   2.124294°  141.537598°
   2.614915°  141.231741°
   2.418873°  141.157090°
   2.582805°  140.675910°
   2.334862°  140.190025°
   2.263329°  140.026901°
   0.483112°  143.048136°
   0.655654°  143.183010°
   0.478497°  143.230126°
   1.202966°  143.776720°
   1.125048°  143.619648°
   2.843277°  142.044861°
   2.974289°  141.833698°
   3.207631°  141.529912°
   3.391012°  140.925286°
   0.842103°  141.285000°
